,years_experience,python_experience,course_level,Q1_different,Q1_similar,Q2_different,Q2_similar,Q3_different,Q3_similar,Q4_different,Q4_similar,Q5_different,Q5_similar,Q6_different,Q6_similar,Q7_different,Q7_similar,Q8_different,Q8_similar,Q9_different,Q9_similar,Q10_different,Q10_similar,Q11_different,Q11_similar,Q12_different,Q12_similar
0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,1.0,1.0,,1.0,,0.0,
1,3.0,3.0,3.0,0.0,,,,,,,0.0,,,1.0,,,0.0,1.0,,1.0,,,1.0,,,0.0,
2,0.0,0.0,5.0,,,,1.0,0.0,,,,,0.0,,1.0,0.0,,0.0,,,,,,,1.0,1.0,
3,1.0,0.5,1.0,,0.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,0.0,
4,2.0,2.0,3.0,1.0,,1.0,,,,,0.0,,,,1.0,,,,1.0,,1.0,,,,,,1.0
5,0.0,0.0,5.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,1.0,,,0.0,
6,1.0,1.0,1.0,0.0,,,1.0,,,0.0,,,0.0,0.0,,,,,,,1.0,1.0,,1.0,,,
7,40.0,15.0,5.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,
8,0.0,0.0,5.0,,,1.0,,0.0,,,,0.0,,,0.0,,,,1.0,,1.0,,,0.0,,,0.0
9,1.5,1.5,3.0,0.0,,1.0,,,,,,,1.0,,,,1.0,,,,0.0,,1.0,,,,0.0
10,2.5,1.0,1.0,,1.0,1.0,,0.0,,,1.0,,,1.0,,1.0,,,0.0,,0.0,,0.0,0.0,,,0.0
11,8.0,3.0,4.0,,,,0.0,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,
12,3.0,2.0,1.0,,0.0,0.0,,,1.0,,1.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,1.0,,0.0
13,7.0,7.0,5.0,,1.0,,,,0.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0
14,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,0.0,
15,3.0,2.0,2.0,,0.0,,1.0,,,0.0,,,1.0,,0.0,1.0,,,,0.0,,,,1.0,,0.0,
16,4.0,4.0,4.0,,,,,,,,,,,1.0,,,1.0,,1.0,,0.0,,,,,,
17,1.0,1.0,3.0,,,,,1.0,,,1.0,,0.0,1.0,,,0.0,,1.0,,0.0,,1.0,,0.0,0.0,
18,5.0,4.0,3.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,0.0,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
23,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,1.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
26,3.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,
28,6.0,6.0,4.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,0.0,
29,3.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
30,1.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,
32,3.0,2.0,5.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,
33,12.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
34,4.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
35,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,19.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
37,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
